"x","y","hosts","mammals","pig","cattle","bovliv","mmb","builtup","energy","trans","agriharv","pollution","forest_integrity_grantham","hewson_forest_transition_potential","pop_2020_worldpop","motor_travel_time_weiss"
108.125,31.125,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","royalblue3"
108.375,31.125,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","royalblue3"
104.625,30.875,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","violetred4","violetred4","violetred4","royalblue3","violetred4","violetred4","royalblue3"
104.875,30.875,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","violetred4","violetred4","violetred4","royalblue3","violetred4","violetred4","royalblue3"
108.125,30.875,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","royalblue3"
108.125,29.375,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","royalblue3","violetred4","khaki","violetred4","violetred4","khaki","khaki"
108.375,29.375,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","royalblue3","violetred4","royalblue3","violetred4","violetred4","khaki","khaki"
108.125,29.125,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","royalblue3","violetred4","royalblue3","violetred4","violetred4","khaki","khaki"
108.375,29.125,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","royalblue3","violetred4","royalblue3","violetred4","violetred4","khaki","khaki"
108.625,29.125,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","royalblue3","violetred4","royalblue3","violetred4","violetred4","khaki","khaki"
107.875,28.875,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","royalblue3","violetred4","royalblue3","violetred4","violetred4","khaki","khaki"
108.125,28.875,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","royalblue3","violetred4","royalblue3","violetred4","violetred4","khaki","khaki"
108.375,28.875,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","royalblue3","violetred4","royalblue3","violetred4","violetred4","khaki","khaki"
108.625,28.875,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","royalblue3","violetred4","royalblue3","violetred4","violetred4","khaki","khaki"
