"x","y","hosts","mammals","pig","cattle","bovliv","mmb","builtup","energy","trans","agriharv","pollution","forest_integrity_grantham","hewson_forest_transition_potential","pop_2020_worldpop","motor_travel_time_weiss","tile"
105.375,26.125,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","khaki","khaki","khaki","khaki",15650
105.625,26.125,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","khaki","violetred4","khaki","khaki",15651
105.875,26.125,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","khaki","violetred4","khaki","khaki",15652
105.375,25.875,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","khaki","khaki","khaki","khaki",15847
109.625,25.875,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","violetred4","khaki","khaki",15864
105.375,25.625,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","khaki","khaki","khaki","khaki",16044
109.375,25.625,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","violetred4","khaki","khaki",16060
109.625,25.625,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","violetred4","khaki","khaki",16061
109.125,25.375,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","violetred4","khaki","khaki",16254
109.375,25.375,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","khaki","violetred4","khaki","khaki",16255
105.875,23.375,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","violetred4","khaki","khaki",17796
106.125,23.375,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","violetred4","khaki","khaki",17797
106.375,23.375,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","violetred4","khaki","khaki",17798
106.625,23.375,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","violetred4","khaki","khaki",17799
106.875,23.375,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","khaki","violetred4","khaki","khaki",17800
107.125,23.375,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","khaki","violetred4","khaki","khaki",17801
106.125,23.125,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","violetred4","khaki","khaki",17987
106.375,23.125,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","violetred4","khaki","khaki",17988
106.625,23.125,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","violetred4","khaki","khaki",17989
106.875,23.125,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","violetred4","khaki","khaki",17990
105.625,21.375,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","violetred4","violetred4","violetred4","khaki","violetred4","violetred4","royalblue3",19146
105.875,21.375,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","violetred4","violetred4","violetred4","khaki","violetred4","violetred4","royalblue3",19147
105.625,21.125,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","violetred4","violetred4","violetred4","khaki","violetred4","violetred4","royalblue3",19275
105.875,21.125,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","violetred4","violetred4","violetred4","khaki","violetred4","violetred4","royalblue3",19276
106.125,21.125,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","violetred4","violetred4","violetred4","khaki","violetred4","violetred4","royalblue3",19277
105.375,20.875,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki",19397
105.625,20.875,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","violetred4","violetred4","violetred4","khaki","violetred4","violetred4","royalblue3",19398
105.875,20.875,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","violetred4","violetred4","violetred4","khaki","violetred4","violetred4","royalblue3",19399
106.125,20.875,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","violetred4","violetred4","violetred4","royalblue3","violetred4","violetred4","royalblue3",19400
105.625,20.625,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","violetred4","violetred4","violetred4","khaki","violetred4","violetred4","royalblue3",19513
105.875,20.625,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","violetred4","violetred4","violetred4","khaki","violetred4","violetred4","royalblue3",19514
106.125,20.625,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","violetred4","violetred4","violetred4","khaki","violetred4","violetred4","royalblue3",19515
105.875,20.375,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","violetred4","violetred4","violetred4","khaki","violetred4","violetred4","royalblue3",19628
106.125,20.375,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","violetred4","violetred4","violetred4","khaki","violetred4","violetred4","royalblue3",19629
106.375,20.375,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","violetred4","violetred4","violetred4","khaki","violetred4","violetred4","royalblue3",19630
105.625,19.375,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","khaki","violetred4","khaki","khaki",20053
105.625,19.125,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","khaki","khaki","khaki","violetred4","khaki","khaki",20157
