"x","y","hosts","mammals","pig","cattle","bovliv","mmb","builtup","energy","trans","agriharv","pollution","forest_integrity_grantham","hewson_forest_transition_potential","pop_2020_worldpop","motor_travel_time_weiss","tile"
101.375,26.375,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",15436
101.625,26.375,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","violetred4","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",15437
101.875,26.375,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","violetred4","khaki","violetred4","khaki","violetred4","khaki","khaki","royalblue3",15438
102.125,26.375,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","violetred4","khaki","violetred4","khaki","violetred4","khaki","khaki","royalblue3",15439
102.375,26.375,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","violetred4","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",15440
102.625,26.375,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","violetred4","khaki","violetred4","khaki","violetred4","royalblue3","khaki","royalblue3",15441
102.875,26.375,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","royalblue3","khaki","royalblue3",15442
103.125,26.375,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","royalblue3","khaki","royalblue3",15443
101.375,26.125,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",15634
101.625,26.125,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","royalblue3",15635
101.875,26.125,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","royalblue3",15636
102.125,26.125,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","violetred4","khaki","violetred4","khaki","violetred4","khaki","khaki","royalblue3",15637
102.375,26.125,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","violetred4","khaki","violetred4","khaki","violetred4","khaki","khaki","royalblue3",15638
102.625,26.125,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","royalblue3",15639
102.875,26.125,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","royalblue3",15640
103.125,26.125,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","royalblue3",15641
101.625,25.875,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","royalblue3",15832
101.875,25.875,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","royalblue3",15833
102.125,25.875,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","royalblue3",15834
102.375,25.875,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","royalblue3",15835
102.625,25.875,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","royalblue3",15836
102.875,25.875,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","royalblue3",15837
101.875,25.625,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","violetred4","khaki","violetred4","khaki","violetred4","khaki","khaki","royalblue3",16030
102.125,25.625,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","violetred4","khaki","violetred4","violetred4","violetred4","khaki","khaki","royalblue3",16031
102.375,25.625,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","violetred4","khaki","violetred4","violetred4","violetred4","khaki","khaki","royalblue3",16032
